time,"I(IIN)","I(IXIN)","I(LOUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,-1.000000e-06,0.000000e+00,2.869636e-08
5.000000e-13,-2.000000e-06,0.000000e+00,7.660940e-08
7.500000e-13,-3.000000e-06,0.000000e+00,1.492924e-07
1.000000e-12,-4.000000e-06,0.000000e+00,2.453013e-07
1.250000e-12,-5.000000e-06,0.000000e+00,3.566778e-07
1.500000e-12,-6.000000e-06,0.000000e+00,4.716401e-07
1.750000e-12,-7.000000e-06,0.000000e+00,5.783291e-07
2.000000e-12,-8.000000e-06,0.000000e+00,6.683253e-07
2.250000e-12,-9.000000e-06,0.000000e+00,7.388737e-07
2.500000e-12,-1.000000e-05,0.000000e+00,7.932471e-07
2.750000e-12,-1.100000e-05,0.000000e+00,8.392843e-07
3.000000e-12,-1.200000e-05,0.000000e+00,8.866855e-07
3.250000e-12,-1.300000e-05,0.000000e+00,9.439715e-07
3.500000e-12,-1.400000e-05,0.000000e+00,1.016038e-06
3.750000e-12,-1.500000e-05,0.000000e+00,1.102988e-06
4.000000e-12,-1.600000e-05,0.000000e+00,1.200492e-06
4.250000e-12,-1.700000e-05,0.000000e+00,1.301431e-06
4.500000e-12,-1.800000e-05,0.000000e+00,1.398245e-06
4.750000e-12,-1.900000e-05,0.000000e+00,1.485215e-06
5.000000e-12,-2.000000e-05,0.000000e+00,1.560018e-06
5.250000e-12,-2.000000e-05,0.000000e+00,1.595447e-06
5.500000e-12,-2.000000e-05,0.000000e+00,1.605495e-06
5.750000e-12,-2.000000e-05,0.000000e+00,1.590561e-06
6.000000e-12,-2.000000e-05,0.000000e+00,1.557594e-06
6.250000e-12,-2.000000e-05,0.000000e+00,1.518020e-06
6.500000e-12,-2.000000e-05,0.000000e+00,1.484199e-06
6.750000e-12,-2.000000e-05,0.000000e+00,1.465757e-06
7.000000e-12,-2.000000e-05,0.000000e+00,1.466961e-06
7.250000e-12,-2.000000e-05,0.000000e+00,1.485892e-06
7.500000e-12,-2.000000e-05,0.000000e+00,1.515511e-06
7.750000e-12,-2.000000e-05,0.000000e+00,1.546159e-06
8.000000e-12,-2.000000e-05,0.000000e+00,1.568644e-06
8.250000e-12,-2.000000e-05,0.000000e+00,1.576929e-06
8.500000e-12,-2.000000e-05,0.000000e+00,1.569680e-06
8.750000e-12,-2.000000e-05,0.000000e+00,1.550287e-06
9.000000e-12,-2.000000e-05,0.000000e+00,1.525481e-06
9.250000e-12,-2.000000e-05,0.000000e+00,1.503069e-06
9.500000e-12,-2.000000e-05,0.000000e+00,1.489526e-06
9.750000e-12,-2.000000e-05,0.000000e+00,1.488173e-06
1.000000e-11,-2.000000e-05,0.000000e+00,1.498443e-06
1.025000e-11,-2.000000e-05,3.750000e-05,1.516357e-06
1.050000e-11,-2.000000e-05,7.500000e-05,1.536534e-06
1.075000e-11,-2.000000e-05,1.125000e-04,1.554608e-06
1.100000e-11,-2.000000e-05,1.500000e-04,1.568261e-06
1.125000e-11,-2.000000e-05,1.875000e-04,1.576891e-06
1.150000e-11,-2.000000e-05,2.250000e-04,1.581330e-06
1.175000e-11,-2.000000e-05,2.625000e-04,1.583996e-06
1.200000e-11,-2.000000e-05,3.000000e-04,1.588895e-06
1.225000e-11,-2.000000e-05,3.375000e-04,1.600851e-06
1.250000e-11,-2.000000e-05,3.750000e-04,1.623921e-06
1.275000e-11,-2.000000e-05,4.125000e-04,1.659745e-06
1.300000e-11,-2.000000e-05,4.500000e-04,1.706897e-06
1.325000e-11,-2.000000e-05,4.875000e-04,1.761748e-06
1.350000e-11,-2.000000e-05,5.250000e-04,1.820388e-06
1.375000e-11,-2.000000e-05,5.625000e-04,1.880514e-06
1.400000e-11,-2.000000e-05,6.000000e-04,1.942304e-06
1.425000e-11,-2.000000e-05,6.375000e-04,2.008054e-06
1.450000e-11,-2.000000e-05,6.750000e-04,2.081142e-06
1.475000e-11,-2.000000e-05,7.125000e-04,2.165141e-06
1.500000e-11,-2.000000e-05,7.500000e-04,2.263605e-06
1.525000e-11,-2.000000e-05,7.875000e-04,2.380443e-06
1.550000e-11,-2.000000e-05,8.250000e-04,2.520458e-06
1.575000e-11,-2.000000e-05,8.625000e-04,2.689644e-06
1.600000e-11,-2.000000e-05,9.000000e-04,2.895200e-06
1.625000e-11,-2.000000e-05,9.375000e-04,3.145559e-06
1.650000e-11,-2.000000e-05,9.750000e-04,3.450898e-06
1.675000e-11,-2.000000e-05,1.012500e-03,3.824431e-06
1.700000e-11,-2.000000e-05,1.050000e-03,4.284509e-06
1.725000e-11,-2.000000e-05,1.087500e-03,4.857289e-06
1.750000e-11,-2.000000e-05,1.125000e-03,5.579688e-06
1.775000e-11,-2.000000e-05,1.162500e-03,6.502333e-06
1.800000e-11,-2.000000e-05,1.200000e-03,7.691809e-06
1.825000e-11,-2.000000e-05,1.237500e-03,9.229687e-06
1.850000e-11,-2.000000e-05,1.275000e-03,1.120099e-05
1.875000e-11,-2.000000e-05,1.312500e-03,1.365688e-05
1.900000e-11,-2.000000e-05,1.350000e-03,1.653679e-05
1.925000e-11,-2.000000e-05,1.387500e-03,1.957685e-05
1.950000e-11,-2.000000e-05,1.425000e-03,2.230687e-05
1.975000e-11,-2.000000e-05,1.462500e-03,2.420118e-05
2.000000e-11,-2.000000e-05,1.500000e-03,2.489290e-05
2.025000e-11,-2.000000e-05,1.500000e-03,2.432066e-05
2.050000e-11,-2.000000e-05,1.500000e-03,2.272699e-05
2.075000e-11,-2.000000e-05,1.500000e-03,2.055759e-05
2.100000e-11,-2.000000e-05,1.500000e-03,1.831087e-05
2.125000e-11,-2.000000e-05,1.500000e-03,1.641762e-05
2.150000e-11,-2.000000e-05,1.500000e-03,1.518285e-05
2.175000e-11,-2.000000e-05,1.500000e-03,1.477760e-05
2.200000e-11,-2.000000e-05,1.500000e-03,1.524759e-05
2.225000e-11,-2.000000e-05,1.500000e-03,1.651135e-05
2.250000e-11,-2.000000e-05,1.500000e-03,1.834515e-05
2.275000e-11,-2.000000e-05,1.500000e-03,2.038513e-05
2.300000e-11,-2.000000e-05,1.500000e-03,2.218773e-05
2.325000e-11,-2.000000e-05,1.500000e-03,2.334877e-05
2.350000e-11,-2.000000e-05,1.500000e-03,2.362744e-05
2.375000e-11,-2.000000e-05,1.500000e-03,2.301414e-05
2.400000e-11,-2.000000e-05,1.500000e-03,2.171546e-05
2.425000e-11,-2.000000e-05,1.500000e-03,2.007191e-05
2.450000e-11,-2.000000e-05,1.500000e-03,1.845257e-05
2.475000e-11,-2.000000e-05,1.500000e-03,1.717107e-05
2.500000e-11,-2.000000e-05,1.500000e-03,1.644206e-05
2.525000e-11,-2.000000e-05,1.500000e-03,1.636986e-05
2.550000e-11,-2.000000e-05,1.500000e-03,1.694920e-05
2.575000e-11,-2.000000e-05,1.500000e-03,1.806435e-05
2.600000e-11,-2.000000e-05,1.500000e-03,1.949199e-05
2.625000e-11,-2.000000e-05,1.500000e-03,2.092880e-05
2.650000e-11,-2.000000e-05,1.500000e-03,2.205707e-05
2.675000e-11,-2.000000e-05,1.500000e-03,2.263127e-05
2.700000e-11,-2.000000e-05,1.500000e-03,2.254754e-05
2.725000e-11,-2.000000e-05,1.500000e-03,2.186618e-05
2.750000e-11,-2.000000e-05,1.500000e-03,2.078136e-05
2.775000e-11,-2.000000e-05,1.500000e-03,1.955631e-05
2.800000e-11,-2.000000e-05,1.500000e-03,1.845333e-05
2.825000e-11,-2.000000e-05,1.500000e-03,1.768181e-05
2.850000e-11,-2.000000e-05,1.500000e-03,1.737102e-05
2.875000e-11,-2.000000e-05,1.500000e-03,1.756091e-05
2.900000e-11,-2.000000e-05,1.500000e-03,1.820117e-05
2.925000e-11,-2.000000e-05,1.500000e-03,1.915606e-05
2.950000e-11,-2.000000e-05,1.500000e-03,2.022196e-05
2.975000e-11,-2.000000e-05,1.500000e-03,2.116609e-05
3.000000e-11,-2.000000e-05,1.500000e-03,2.178261e-05
3.025000e-11,-2.000000e-05,1.500000e-03,2.194686e-05
3.050000e-11,-2.000000e-05,1.500000e-03,2.164635e-05
3.075000e-11,-2.000000e-05,1.500000e-03,2.097693e-05
3.100000e-11,-2.000000e-05,1.500000e-03,2.010901e-05
3.125000e-11,-2.000000e-05,1.500000e-03,1.923933e-05
3.150000e-11,-2.000000e-05,1.500000e-03,1.854600e-05
3.175000e-11,-2.000000e-05,1.500000e-03,1.815724e-05
3.200000e-11,-2.000000e-05,1.500000e-03,1.813511e-05
3.225000e-11,-2.000000e-05,1.500000e-03,1.847038e-05
3.250000e-11,-2.000000e-05,1.500000e-03,1.908522e-05
3.275000e-11,-2.000000e-05,1.500000e-03,1.984542e-05
3.300000e-11,-2.000000e-05,1.500000e-03,2.058515e-05
3.325000e-11,-2.000000e-05,1.500000e-03,2.114364e-05
3.350000e-11,-2.000000e-05,1.500000e-03,2.140451e-05
3.375000e-11,-2.000000e-05,1.500000e-03,2.132424e-05
3.400000e-11,-2.000000e-05,1.500000e-03,2.093967e-05
3.425000e-11,-2.000000e-05,1.500000e-03,2.035319e-05
3.450000e-11,-2.000000e-05,1.500000e-03,1.970282e-05
3.475000e-11,-2.000000e-05,1.500000e-03,1.912838e-05
3.500000e-11,-2.000000e-05,1.500000e-03,1.874317e-05
3.525000e-11,-2.000000e-05,1.500000e-03,1.861553e-05
3.550000e-11,-2.000000e-05,1.500000e-03,1.876018e-05
3.575000e-11,-2.000000e-05,1.500000e-03,1.913788e-05
3.600000e-11,-2.000000e-05,1.500000e-03,1.966297e-05
3.625000e-11,-2.000000e-05,1.500000e-03,2.021985e-05
3.650000e-11,-2.000000e-05,1.500000e-03,2.068742e-05
3.675000e-11,-2.000000e-05,1.500000e-03,2.096706e-05
3.700000e-11,-2.000000e-05,1.500000e-03,2.100586e-05
3.725000e-11,-2.000000e-05,1.500000e-03,2.080772e-05
3.750000e-11,-2.000000e-05,1.500000e-03,2.042903e-05
3.775000e-11,-2.000000e-05,1.500000e-03,1.996168e-05
3.800000e-11,-2.000000e-05,1.500000e-03,1.950961e-05
3.825000e-11,-2.000000e-05,1.500000e-03,1.916607e-05
3.850000e-11,-2.000000e-05,1.500000e-03,1.899616e-05
3.875000e-11,-2.000000e-05,1.500000e-03,1.902671e-05
3.900000e-11,-2.000000e-05,1.500000e-03,1.924328e-05
3.925000e-11,-2.000000e-05,1.500000e-03,1.959403e-05
3.950000e-11,-2.000000e-05,1.500000e-03,2.000033e-05
3.975000e-11,-2.000000e-05,1.500000e-03,2.037332e-05
4.000000e-11,-2.000000e-05,1.500000e-03,2.063368e-05
4.025000e-11,-2.000000e-05,1.500000e-03,2.072969e-05
