time,"I(IIN_A)","I(IIN_B)","I(ICLK1)","I(ICLK2)","I(ICLK3)","I(ICLK4)","I(LOUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,-1.000000e-06,-1.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.235533e-08
5.000000e-13,-2.000000e-06,-2.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.896783e-08
7.500000e-13,-3.000000e-06,-3.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.134986e-07
1.000000e-12,-4.000000e-06,-4.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.841639e-07
1.250000e-12,-5.000000e-06,-5.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.643994e-07
1.500000e-12,-6.000000e-06,-6.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.452251e-07
1.750000e-12,-7.000000e-06,-7.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.182783e-07
2.000000e-12,-8.000000e-06,-8.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.784235e-07
2.250000e-12,-9.000000e-06,-9.000000e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.251160e-07
2.500000e-12,-1.000000e-05,-1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.621804e-07
2.750000e-12,-1.100000e-05,-1.100000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.962080e-07
3.000000e-12,-1.200000e-05,-1.200000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.342045e-07
3.250000e-12,-1.300000e-05,-1.300000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.813051e-07
3.500000e-12,-1.400000e-05,-1.400000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.392860e-07
3.750000e-12,-1.500000e-05,-1.500000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.062803e-07
4.000000e-12,-1.600000e-05,-1.600000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.776873e-07
4.250000e-12,-1.700000e-05,-1.700000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.478819e-07
4.500000e-12,-1.800000e-05,-1.800000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012107e-06
4.750000e-12,-1.900000e-05,-1.900000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.067925e-06
5.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.115808e-06
5.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.136379e-06
5.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.142049e-06
5.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.133301e-06
6.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.114580e-06
6.250000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.092904e-06
6.500000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.075544e-06
6.750000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.067723e-06
7.000000e-12,-2.000000e-05,-2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.071140e-06
