time,"I(IIN)","I(IXIN)","I(LOUT)","P(B1|X1)","P(B2|X1)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,4.000000e-08,0.000000e+00,7.794555e-10,-6.885472e-08,6.885472e-08
2.000000e-14,8.000000e-08,0.000000e+00,1.560556e-09,-3.199464e-07,3.199464e-07
3.000000e-14,1.200000e-07,0.000000e+00,2.344510e-09,-8.872134e-07,8.872134e-07
4.000000e-14,1.600000e-07,0.000000e+00,3.132591e-09,-1.911827e-06,1.911827e-06
5.000000e-14,2.000000e-07,0.000000e+00,3.926083e-09,-3.535952e-06,3.535952e-06
6.000000e-14,2.400000e-07,0.000000e+00,4.726254e-09,-5.900061e-06,5.900061e-06
7.000000e-14,2.800000e-07,0.000000e+00,5.534346e-09,-9.141826e-06,9.141826e-06
8.000000e-14,3.200000e-07,0.000000e+00,6.351573e-09,-1.339568e-05,1.339568e-05
9.000000e-14,3.600000e-07,0.000000e+00,7.179116e-09,-1.879264e-05,1.879264e-05
1.000000e-13,4.000000e-07,0.000000e+00,8.018127e-09,-2.546024e-05,2.546024e-05
1.100000e-13,4.400000e-07,0.000000e+00,8.869726e-09,-3.352251e-05,3.352251e-05
1.200000e-13,4.800000e-07,0.000000e+00,9.734999e-09,-4.309994e-05,4.309994e-05
1.300000e-13,5.200000e-07,0.000000e+00,1.061500e-08,-5.430952e-05,5.430952e-05
1.400000e-13,5.600000e-07,0.000000e+00,1.151076e-08,-6.726472e-05,6.726472e-05
1.500000e-13,6.000000e-07,0.000000e+00,1.242327e-08,-8.207547e-05,8.207547e-05
1.600000e-13,6.400000e-07,0.000000e+00,1.335348e-08,-9.884823e-05,9.884823e-05
1.700000e-13,6.800000e-07,0.000000e+00,1.430233e-08,-1.176859e-04,1.176859e-04
1.800000e-13,7.200000e-07,0.000000e+00,1.527072e-08,-1.386880e-04,1.386880e-04
1.900000e-13,7.600000e-07,0.000000e+00,1.625950e-08,-1.619505e-04,1.619505e-04
2.000000e-13,8.000000e-07,0.000000e+00,1.726952e-08,-1.875659e-04,1.875659e-04
2.100000e-13,8.400000e-07,0.000000e+00,1.830158e-08,-2.156233e-04,2.156233e-04
2.200000e-13,8.800000e-07,0.000000e+00,1.935646e-08,-2.462083e-04,2.462083e-04
2.300000e-13,9.200000e-07,0.000000e+00,2.043489e-08,-2.794033e-04,2.794033e-04
2.400000e-13,9.600000e-07,0.000000e+00,2.153758e-08,-3.152870e-04,3.152870e-04
2.500000e-13,1.000000e-06,0.000000e+00,2.266523e-08,-3.539351e-04,3.539351e-04
2.600000e-13,1.040000e-06,0.000000e+00,2.381847e-08,-3.954198e-04,3.954198e-04
2.700000e-13,1.080000e-06,0.000000e+00,2.499794e-08,-4.398098e-04,4.398098e-04
